Strategy,Final_Value,Total_Return_%,Max_Gain_%,Max_Loss_%,Max_Drawdown_%,Std_Dev_%,Volatility_%
Benchmark (2800.HK),26552.58300349376,32.7629150174688,36.994398305676185,-3.889234672489129,-19.742602199887294,0.9015269571147012,14.311296772477752
0288.HK (Aggressive),26013.951860427856,30.069759302139282,41.88735977172852,-10.03475133895874,-13.687658761180737,0.961878623163254,15.269349769915097
0005.HK (Conservative),21297.1001663208,6.4855008316040035,10.736502494811994,0.0,-4.921593040429765,0.2220267062873165,3.524564695506123
2318.HK (Conservative),21055.599102020264,5.277995510101318,22.924247951507567,-5.538252048492431,-21.687138937732506,0.8521737172081311,13.527838377349191
3690.HK (Aggressive),20324.69921875,1.62349609375,29.599498596191403,-17.97949691772461,-26.478572933088778,1.4084545185146184,22.358522333609393
0288.HK (Conservative),20250.979976654053,1.2548998832702636,12.295700025558471,-8.218299975395203,-10.562649447490877,0.5608777963295041,8.903658989914824
0002.HK (Conservative),20000.0,0.0,0.0,0.0,0.0,0.0,0.0
0005.HK (Aggressive),19708.94948577881,-1.4552525711059572,4.494747428894043,-11.88525363922119,-13.36604555648077,0.510150952060451,8.098395301528726
0002.HK (Aggressive),19503.999687194824,-2.480001564025879,0.03125312805175781,-2.737501564025879,-2.767889639984121,0.08650629734786938,1.3732448977408127
2318.HK (Aggressive),17985.797973632812,-10.071010131835937,15.57599899291992,-28.659005756378182,-38.27352143588904,1.3633237469539288,21.642093545453083
3690.HK (Conservative),15982.399276733398,-20.08800361633301,1.2190016174316407,-20.41000221252442,-21.368521210775487,0.5352055404024438,8.496124561252792
